topic_index,topic_words
35,"prisoners, prison, prisoner, men, door, friend, honour, officer, cell, escape, friends, guard, soldiers, pistol, crowd, news, murder, road, brigands, blood"
36,"children, course, others, anything, carpet, something, book, door, denny, right, girls, ring, gentleman, kind, sort, day, h.o, books, police, paper"
37,"men, house, day, face, days, life, peril, hast, art, nay, brothers, methinks, forth, youth, heart, none, walls, matter, wife, news"
38,"moment, men, feet, side, fellow, body, minutes, back, arms, sight, chance, ground, eye, line, arm, blood, lad, right, blow, shoulder"
39,"battle, france, arms, day, england, army, soldiers, court, side, cause, knights, country, walls, brothers, victory, part, nobles, tent, foe, band"
40,"men, work, mine, flames, lad, smoke, lads, shaft, coal, engine, boys, years, air, hour, life, explosion, fireman, fires, gas, miners"
41,"cuckoo, penn, louisiana, benet, tabitha, thar, dory, dollars, fer, thet, fog, violin, auction, here, fish, clock, persis, new, butterflies, wildermann"
42,"girls, school, room, course, dear, sort, face, money, anything, house, dress, heart, life, morning, bit, moment, child, day, tea, minute"
43,"day, letter, money, nothing, friend, days, business, morning, gentleman, week, course, years, life, mind, house, something, anything, matter, letters, months"
44,"river, trees, birds, hut, ground, savages, day, island, spot, canoe, distance, feet, sun, village, natives, rocks, food, bushes, journey, savage"
